car,5234
option,1597
many,5477
seeing,124
making,156
other,1771
charm,1073
large,4872
willing,443
guest,3751
organised,57
booklet,126
essential,939
item,1148
left,271
locate,143
show,209
trendy,178
stylish,3999
boyfriend,171
everyone,1537
sublime,83
artwork,330
personality,167
center,1110
water,4819
skip,47
breakast,2
discreet,18
strip,556
business,450
grace,39
guide,411
barista,15
talkative,23
novelty,44
calendar,10
catch,383
last,1549
get,670
sweet,1205
complete,781
pantry,904
brilliant,1499
dig,19
thumb,170
tracy,89
accommodation,9534
peaceful,5130
dinner,2998
join,28
die,142
perth,31
celsius,4
degree,178
p.m.,363
healthy,135
maker,167
door,3219
separate,944
toilet,1229
lounge,1979
floorboard,56
sound,642
impressed,516
def,70
private,6042
exploration,118
foot,684
keen,310
that,217
walker,46
choice,1227
eatery,683
europe,28
trial,43
recommand,18
spent3,1
imagination,17
inspire,3
one,380
converse,15
fit,376
architecture,290
diverse,31
nearby,1463
battery,1881
salamanca,5372
square,170
hot,2256
market,2693
month,788
saturday,326
talk,526
drive,6590
middle,1047
extra,4768
communication,7776
elevated,87
quaint,1139
arm,116
cheap,405
cinemabookstore,2
nth,57
terrific,1069
trivium,8
wednesday,11
glass,1085
small,5242
touristy,86
van,163
co,61
see,226
chip,250
fish,404
grocery,1030
answer,435
derwent,621
enquiry,274
intrusion,13
neighbourhood,1828
comfort,1810
fourday,3
freycinet,1547
national,1794
slow,202
stillness,13
trek,98
spade,13
animal,1594
common,256
health,42
festival,195
grower,6
interested,193
generosity,188
staple,184
date,303
future,1884
communicator,435
queenslander,42
doona,136
fluish,1
clock,34
radio,41
touch,9533
entire,690
knocklofty,29
run,321
hat,170
s,1524
available,3386
access,4695
loungekitchen,17
live,345
music,648
upstairs,278
video,98
dark,862
mofo,358
lovey,68
overall,1064
accurate,853
listing,411
treat,1611
brochure,324
lonely,24
planet,37
timetable,25
outoftown,3
alehouse,3
bookshop,14
path,410
jen,321
nsw,34
sal,4
file,27
box,548
packing,20
willingness,33
frenchie,1
10min,248
bright,1244
kitchenher,1
coco,11
body,194
shampoo,523
standout,39
teacoffee,78
toast,274
wash,315
partner,1372
pat,638
hire,256
pablo,24
artist,125
decorating,8
breathtaking,813
inviting,263
early,1428
wake,265
service,1089
sunday,467
late,2024
neighborhood,871
safe,954
