listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy
950294,t,Waratah/Wynyard,House,Entire home/apt,6,1,3,5,Real Bed,$105.00 ,0.00%,0.00%,2,moderate
951788,f,Dorset,Apartment,Entire home/apt,6,1,2,4,Real Bed,$120.00 ,0.00%,33.33%,1,strict_14_with_grace_period
953965,t,Hobart,Apartment,Entire home/apt,4,1,2,2,Real Bed,$160.00 ,0.00%,46.88%,1,moderate
967962,f,Launceston,House,Entire home/apt,7,1,3,4,Real Bed,$165.00 ,181.82%,30.30%,2,strict_14_with_grace_period
969333,f,Huon Valley,House,Entire home/apt,8,2,4,5,Real Bed,$249.00 ,100.40%,35.74%,1,moderate
971545,f,Hobart,Apartment,Entire home/apt,4,1,2,4,Real Bed,$158.00 ,94.94%,44.30%,2,moderate
980988,t,Kingborough,Apartment,Entire home/apt,2,1,1,1,Real Bed,$129.00 ,232.56%,0.00%,3,strict_14_with_grace_period
983912,f,Clarence,House,Entire home/apt,16,2,5,11,Real Bed,$950.00 ,0.00%,20.53%,1,flexible
1004937,t,Clarence,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$80.00 ,0.00%,0.00%,1,flexible
1019470,t,Hobart,House,Entire home/apt,5,1.5,2,3,Real Bed,$120.00 ,0.00%,50.00%,4,moderate
1024585,t,Launceston,Cottage,Entire home/apt,5,1,2,3,Real Bed,$209.00 ,0.00%,40.67%,2,moderate
1030686,f,Dorset,Guest suite,Private room,3,1,1,2,Real Bed,$110.00 ,0.00%,0.00%,1,moderate
1030755,f,Dorset,Apartment,Entire home/apt,2,1,1,1,Real Bed,$129.00 ,0.00%,23.26%,1,flexible
1030789,f,Dorset,Apartment,Entire home/apt,7,1,3,5,Real Bed,$180.00 ,0.00%,33.33%,1,strict_14_with_grace_period
1039825,f,Glenorchy,House,Private room,2,1,1,1,Real Bed,$59.00 ,0.00%,16.95%,2,moderate
1046145,t,Sorell,Cabin,Entire home/apt,2,1,1,2,Real Bed,$125.00 ,200.00%,0.00%,2,strict_14_with_grace_period
1064872,f,Launceston,House,Entire home/apt,3,1,1,2,Real Bed,$230.00 ,130.43%,0.00%,1,moderate
1072816,t,Central Highlands,Farm stay,Entire home/apt,6,2,3,4,Real Bed,$399.00 ,0.00%,0.00%,2,moderate
1074893,f,Huon Valley,Other,Private room,3,1,1,3,Real Bed,$65.00 ,0.00%,23.08%,1,strict_14_with_grace_period
1090688,f,Hobart,Apartment,Entire home/apt,5,1,2,3,Real Bed,$160.00 ,0.00%,18.75%,1,moderate
1093353,t,Waratah/Wynyard,House,Entire home/apt,6,1,3,5,Real Bed,$105.00 ,0.00%,0.00%,2,moderate
1093453,t,Waratah/Wynyard,House,Entire home/apt,4,1,2,3,Real Bed,$98.00 ,0.00%,0.00%,2,moderate
1093535,t,Waratah/Wynyard,Bungalow,Entire home/apt,4,1,2,3,Real Bed,$105.00 ,0.00%,0.00%,2,moderate
1101352,t,Clarence,Apartment,Entire home/apt,4,1,1,1,Real Bed,$118.00 ,423.73%,42.37%,2,strict_14_with_grace_period
1118645,f,West Tamar,Bed and breakfast,Entire home/apt,4,1,2,4,Real Bed,$200.00 ,0.00%,0.00%,2,strict_14_with_grace_period
1139122,t,Central Coast,House,Entire home/apt,12,2,5,12,Real Bed,$140.00 ,0.00%,0.00%,1,flexible
1160182,f,Break O'Day,House,Entire home/apt,10,5,4,10,Real Bed,$690.00 ,217.39%,0.00%,2,strict_14_with_grace_period
1229914,t,Sorell,House,Entire home/apt,5,1,2,3,Real Bed,$96.00 ,0.00%,15.63%,1,strict_14_with_grace_period
1261574,f,Kingborough,Cottage,Entire home/apt,4,1,2,2,Real Bed,$240.00 ,83.33%,41.67%,2,strict_14_with_grace_period
1285967,f,Clarence,Farm stay,Entire home/apt,6,1,2,5,Real Bed,$105.00 ,0.00%,0.00%,1,strict_14_with_grace_period
1298395,f,Hobart,House,Entire home/apt,5,1,2,4,Real Bed,$251.00 ,79.68%,19.92%,3,moderate
1365222,f,Hobart,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$90.00 ,222.22%,0.00%,3,strict_14_with_grace_period
1382539,t,Glenorchy,House,Entire home/apt,4,1,2,3,Real Bed,$129.00 ,0.00%,27.13%,2,moderate
1393975,f,Hobart,House,Private room,2,1,1,1,Real Bed,$74.00 ,0.00%,0.00%,4,moderate
1412234,f,Dorset,Apartment,Entire home/apt,6,2,3,6,Real Bed,$200.00 ,0.00%,50.00%,2,moderate
1417161,f,Huon Valley,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$165.00 ,0.00%,0.00%,2,moderate
1428287,t,Huon Valley,Cottage,Entire home/apt,6,1,2,4,Real Bed,$140.00 ,0.00%,0.00%,2,moderate
1439271,t,Meander Valley,Farm stay,Entire home/apt,5,1,2,1,Real Bed,$156.00 ,0.00%,0.00%,2,moderate
1467739,f,Kingborough,House,Entire home/apt,6,1,3,3,Real Bed,$180.00 ,0.00%,22.22%,1,moderate
1468272,f,Glenorchy,Serviced apartment,Entire home/apt,6,1,2,5,Real Bed,$79.00 ,0.00%,0.00%,1,strict_14_with_grace_period
1485274,t,Hobart,House,Private room,2,1.5,1,1,Real Bed,$65.00 ,0.00%,0.00%,2,flexible
1516843,f,Huon Valley,House,Entire home/apt,8,2,4,6,Real Bed,$169.00 ,88.76%,29.59%,2,strict_14_with_grace_period
1525866,f,Huon Valley,Guesthouse,Entire home/apt,3,1,0,2,Real Bed,$66.00 ,0.00%,0.00%,2,moderate
1535976,f,Break O'Day,House,Entire home/apt,6,1.5,3,4,Real Bed,$295.00 ,169.49%,25.42%,2,strict_14_with_grace_period
1543029,t,Huon Valley,House,Entire home/apt,4,1,2,2,Real Bed,$196.00 ,178.57%,0.00%,2,strict_14_with_grace_period
1548425,f,Clarence,House,Private room,2,1,1,2,Real Bed,$90.00 ,0.00%,11.11%,1,moderate
1572316,f,Clarence,House,Entire home/apt,6,2,3,3,Real Bed,$490.00 ,0.00%,0.00%,2,strict_14_with_grace_period
1583902,f,Huon Valley,Apartment,Entire home/apt,2,1,0,1,Real Bed,$91.00 ,0.00%,0.00%,2,moderate
1585628,f,West Tamar,Apartment,Entire home/apt,4,1,2,3,Real Bed,$160.00 ,0.00%,0.00%,1,moderate
1599178,f,Kingborough,House,Entire home/apt,5,1.5,3,3,Real Bed,$342.00 ,350.88%,14.62%,3,strict_14_with_grace_period
1600480,t,Hobart,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,$200.00 ,0.00%,20.00%,2,moderate
1602737,t,Hobart,House,Entire home/apt,5,2,3,3,Real Bed,$101.00 ,0.00%,24.75%,2,moderate
1646447,t,Huon Valley,House,Private room,2,1,1,1,Real Bed,$90.00 ,0.00%,11.11%,1,moderate
1653374,t,Huon Valley,House,Entire home/apt,12,3,7,10,Real Bed,$420.00 ,95.24%,19.05%,2,strict_14_with_grace_period
1656842,f,Tasman,Cottage,Entire home/apt,4,1,2,3,Real Bed,$135.00 ,0.00%,0.00%,2,flexible
1704466,f,Kingborough,House,Private room,2,1,1,1,Real Bed,$101.00 ,0.00%,0.00%,2,strict_14_with_grace_period
1710674,f,Latrobe,Bed and breakfast,Entire home/apt,3,1,1,1,Real Bed,$140.00 ,0.00%,0.00%,2,moderate
1717708,f,Break O'Day,House,Entire home/apt,9,2,4,5,Real Bed,$160.00 ,125.00%,18.75%,2,strict_14_with_grace_period
1734662,t,Kingborough,House,Entire home/apt,6,2,4,4,Real Bed,$260.00 ,0.00%,30.77%,2,moderate
1743681,f,Kingborough,Bungalow,Entire home/apt,6,1,2,4,Real Bed,$150.00 ,0.00%,26.67%,2,strict_14_with_grace_period
1747779,t,Tasman,House,Entire home/apt,5,1,2,4,Real Bed,$129.00 ,0.00%,0.00%,2,moderate
1747893,f,Dorset,Cabin,Entire home/apt,4,1,2,2,Real Bed,$169.00 ,118.34%,0.00%,2,strict_14_with_grace_period
1748390,f,Hobart,Apartment,Entire home/apt,8,2,3,5,Real Bed,$410.00 ,0.00%,24.39%,2,moderate
1770409,f,Break O'Day,House,Entire home/apt,7,2,3,7,Real Bed,$196.00 ,0.00%,0.00%,2,strict_14_with_grace_period
1779644,t,Hobart,House,Entire home/apt,2,1,1,1,Real Bed,$140.00 ,0.00%,21.43%,2,strict_14_with_grace_period
1790006,f,Derwent Valley,House,Entire home/apt,5,2,3,3,Real Bed,$169.00 ,0.00%,0.00%,2,moderate
1790059,f,Derwent Valley,House,Entire home/apt,5,2,2,3,Real Bed,$180.00 ,0.00%,0.00%,2,flexible
1790146,f,Kingborough,House,Private room,1,1,1,1,Real Bed,$45.00 ,0.00%,0.00%,1,flexible
1799231,t,West Tamar,Cottage,Entire home/apt,2,1,1,1,Real Bed,$125.00 ,0.00%,0.00%,1,strict_14_with_grace_period
1824421,t,Hobart,Condominium,Entire home/apt,2,1,0,1,Real Bed,$95.00 ,0.00%,0.00%,2,flexible
1833003,f,Kingborough,House,Entire home/apt,8,2,4,4,Real Bed,$280.00 ,178.57%,35.71%,5,moderate
1837395,f,Hobart,Apartment,Entire home/apt,4,1,1,3,Real Bed,$179.00 ,153.63%,0.00%,2,moderate
1845252,t,Hobart,Guest suite,Entire home/apt,2,1,1,1,Real Bed,$110.00 ,0.00%,27.27%,3,moderate
1869178,f,Central Coast,Apartment,Entire home/apt,2,1,1,1,Real Bed,$79.00 ,0.00%,18.99%,2,strict_14_with_grace_period
1877429,t,Hobart,House,Private room,2,1,1,1,Real Bed,$74.00 ,202.70%,81.08%,2,moderate
1895161,f,Devonport,House,Entire home/apt,6,1,2,5,Real Bed,$90.00 ,166.67%,0.00%,3,flexible
1907187,f,Huon Valley,House,Private room,2,1,1,1,Real Bed,$85.00 ,0.00%,0.00%,1,strict_14_with_grace_period
1914037,t,Northern Midlands,Guesthouse,Entire home/apt,4,1,2,3,Real Bed,$175.00 ,0.00%,28.57%,2,moderate
1925059,t,Break O'Day,Cottage,Entire home/apt,2,1,1,1,Real Bed,$95.00 ,0.00%,0.00%,1,moderate
1932381,t,Break O'Day,House,Entire home/apt,5,1,2,3,Real Bed,$185.00 ,135.14%,43.24%,2,moderate
1953248,f,Hobart,Cottage,Entire home/apt,5,1,3,4,Real Bed,$200.00 ,200.00%,30.00%,2,moderate
1956314,f,Hobart,Apartment,Entire home/apt,2,1,1,1,Real Bed,$101.00 ,0.00%,29.70%,2,strict_14_with_grace_period
1958023,t,Glamorgan/Spring Bay,House,Entire home/apt,13,1,3,9,Real Bed,$200.00 ,0.00%,0.00%,2,strict_14_with_grace_period
1966689,f,West Tamar,Bungalow,Entire home/apt,4,1,3,3,Real Bed,$129.00 ,0.00%,0.00%,3,strict_14_with_grace_period
1967543,f,West Tamar,Guest suite,Private room,2,1,2,2,Real Bed,$110.00 ,0.00%,0.00%,1,strict_14_with_grace_period
1976671,t,Kingborough,Treehouse,Entire home/apt,4,1,2,2,Real Bed,$180.00 ,333.33%,33.33%,1,strict_14_with_grace_period
2009197,f,Clarence,Bungalow,Entire home/apt,2,1,1,1,Real Bed,$129.00 ,0.00%,0.00%,2,strict_14_with_grace_period
2012687,f,Hobart,House,Entire home/apt,9,2,4,6,Real Bed,$251.00 ,119.52%,35.86%,2,strict_14_with_grace_period
2013901,f,Kingborough,Apartment,Entire home/apt,4,1,2,6,Real Bed,$160.00 ,0.00%,0.00%,1,flexible
2038583,t,Hobart,Apartment,Entire home/apt,5,1,2,3,Real Bed,$190.00 ,78.95%,18.42%,2,strict_14_with_grace_period
2042954,f,Kingborough,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,$158.00 ,0.00%,0.00%,2,strict_14_with_grace_period
