,listing_id,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit (% of price),cleaning_fee (% of price),minimum_nights,cancellation_policy,experience,view,décor_and_amenities,neighborhood_and_access,host,weather_and_amenties,food,overall_avg
27,513528,t,Kingborough,Cabin,Entire home/apt,2,1.0,1,1,Real Bed,$74.00 ,0.00%,33.78%,3,moderate,1.0,0.9603960396039604,0.9340659340659341,0.9607843137254902,0.868421052631579,0.8125,0.7647058823529411,0.9836065573770492
28,515646,t,Kingborough,Cabin,Entire home/apt,2,1.0,1,1,Real Bed,$140.00 ,0.00%,25.00%,2,moderate,1.0,1.0,0.978021978021978,0.9788359788359788,0.9583333333333334,0.8861788617886179,0.9215686274509803,1.0
29,519737,f,Kingborough,Cottage,Entire home/apt,4,1.0,1,2,Real Bed,$120.00 ,0.00%,20.83%,1,flexible,0.9333333333333333,0.9722222222222222,1.0,1.0,1.0,0.7837837837837838,1.0,1.0
30,534199,f,Central Highlands,House,Entire home/apt,6,1.0,3,4,Real Bed,$260.00 ,0.00%,30.77%,2,strict_14_with_grace_period,1.0,0.7777777777777778,0.42857142857142855,1.0,1.0,-0.2,0.0,0.8181818181818182
31,537703,f,Kingborough,Chalet,Entire home/apt,2,1.0,1,1,Real Bed,$145.00 ,0.00%,0.00%,2,flexible,1.0,1.0,1.0,0.9444444444444444,1.0,0.7333333333333333,1.0,1.0
32,566316,f,Hobart,House,Entire home/apt,4,1.0,2,2,Real Bed,$120.00 ,0.00%,0.00%,4,moderate,1.0,1.0,1.0,0.9487179487179487,1.0,1.0,0.8461538461538461,1.0
33,587738,t,Launceston,Apartment,Entire home/apt,5,1.0,3,3,Real Bed,$110.00 ,0.00%,36.36%,1,moderate,1.0,1.0,0.9545454545454546,1.0,1.0,1.0,1.0,1.0
34,587844,t,Launceston,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,$87.00 ,0.00%,34.48%,1,moderate,0.9090909090909091,0.9661016949152542,0.9865771812080537,0.9328859060402684,1.0,0.8181818181818182,0.9090909090909091,0.988950276243094
35,637058,f,Flinders,Guesthouse,Entire home/apt,2,1.0,1,2,Futon,$160.00 ,0.00%,21.88%,3,flexible,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,667377,f,Glenorchy,House,Private room,1,1.0,1,1,Real Bed,$50.00 ,0.00%,0.00%,2,moderate,1.0,1.0,1.0,0.9354838709677419,0.9230769230769231,0.8181818181818182,1.0,1.0
37,671769,t,Launceston,Apartment,Entire home/apt,6,1.5,3,4,Real Bed,$196.00 ,0.00%,38.27%,2,moderate,1.0,1.0,1.0,0.9607843137254902,1.0,0.6666666666666666,1.0,1.0
38,682207,f,Dorset,Guest suite,Entire home/apt,4,1.0,1,2,Real Bed,$110.00 ,0.00%,18.18%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
39,689381,t,Kingborough,House,Entire home/apt,4,2.0,2,3,Real Bed,$450.00 ,333.33%,26.67%,7,strict_14_with_grace_period,1.0,1.0,0.9230769230769231,0.9230769230769231,1.0,1.0,1.0,0.9285714285714286
40,706348,t,Hobart,Apartment,Entire home/apt,5,1.0,2,3,Real Bed,$135.00 ,148.15%,0.00%,3,strict_14_with_grace_period,0.9354838709677419,0.9466666666666667,0.9555555555555556,0.967479674796748,0.8947368421052632,0.9591836734693877,0.84,0.9736842105263158
41,706423,t,Hobart,Apartment,Entire home/apt,5,1.0,2,3,Real Bed,$135.00 ,148.15%,0.00%,3,strict_14_with_grace_period,1.0,0.9666666666666667,1.0,0.983739837398374,0.8974358974358975,1.0,0.8709677419354839,0.9878787878787879
42,708702,f,Hobart,Apartment,Entire home/apt,2,1.0,1,1,Real Bed,$175.00 ,571.43%,28.57%,3,strict_14_with_grace_period,0.9487179487179487,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0
43,741519,t,Glenorchy,Earth house,Entire home/apt,4,1.0,2,2,Real Bed,$125.00 ,120.00%,32.00%,2,strict_14_with_grace_period,1.0,0.948051948051948,0.9888268156424581,0.9738562091503268,0.9782608695652174,0.68,0.8604651162790697,0.9905660377358491
44,753283,f,Hobart,House,Entire home/apt,6,2.0,2,5,Real Bed,$230.00 ,108.70%,30.43%,2,moderate,0.9629629629629629,1.0,0.9841269841269841,1.0,0.9791666666666666,1.0,0.9259259259259259,1.0
45,753990,f,Flinders,Guesthouse,Entire home/apt,2,1.0,1,1,Real Bed,$165.00 ,0.00%,21.21%,2,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,757987,f,Derwent Valley,Cottage,Entire home/apt,3,1.0,1,1,Real Bed,$207.00 ,0.00%,0.00%,2,flexible,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
47,760478,f,Glamorgan/Spring Bay,Cabin,Entire home/apt,2,1.0,1,1,Real Bed,$350.00 ,0.00%,0.00%,2,super_strict_60,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
48,773175,f,Hobart,House,Private room,2,1.0,1,1,Real Bed,$101.00 ,0.00%,0.00%,2,strict_14_with_grace_period,1.0,1.0,1.0,0.9642857142857143,1.0,1.0,1.0,0.9701492537313433
49,782046,f,Central Coast,Apartment,Entire home/apt,4,2.0,2,3,Real Bed,$81.00 ,0.00%,18.52%,2,strict_14_with_grace_period,1.0,0.92,0.8666666666666667,0.8461538461538461,1.0,0.6666666666666666,1.0,0.9411764705882353
50,788753,f,Launceston,House,Entire home/apt,8,2.0,4,5,Real Bed,$196.00 ,102.04%,40.82%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0
51,788858,f,Launceston,House,Entire home/apt,9,1.5,4,5,Real Bed,$180.00 ,111.11%,44.44%,1,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,792917,t,Clarence,House,Entire home/apt,8,1.0,4,4,Real Bed,$350.00 ,0.00%,14.29%,2,strict_14_with_grace_period,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
53,820278,f,Hobart,House,Entire home/apt,6,1.0,2,4,Real Bed,$135.00 ,148.15%,0.00%,2,strict_14_with_grace_period,1.0,1.0,0.978021978021978,0.927710843373494,0.8857142857142857,0.9310344827586207,1.0,0.9626168224299065
54,820306,f,Huon Valley,Cottage,Entire home/apt,4,1.0,2,2,Real Bed,$165.00 ,0.00%,18.18%,2,moderate,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.75,1.0
55,853123,t,Central Highlands,Guest suite,Entire home/apt,2,1.0,1,1,Real Bed,$150.00 ,0.00%,0.00%,1,moderate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,859047,f,Huon Valley,Condominium,Entire home/apt,4,2.0,2,3,Real Bed,$129.00 ,0.00%,0.00%,3,moderate,,1.0,1.0,1.0,0.75,1.0,1.0,1.0
57,862364,f,Launceston,Bed and breakfast,Private room,2,1.0,1,1,Real Bed,$185.00 ,0.00%,0.00%,1,strict_14_with_grace_period,,1.0,1.0,1.0,1.0,,1.0,1.0
58,863536,t,Hobart,Bed and breakfast,Private room,2,1.0,1,1,Real Bed,$70.00 ,142.86%,35.71%,1,flexible,1.0,1.0,1.0,0.9777777777777777,0.978021978021978,1.0,1.0,1.0
