"","V1","V2"
"1",1510,0.273460787715571
"2",6450,0.124989520807768
"3",6499,0.170529760287404
"4",1510,0.273460787715571
"5",6450,0.124989520807768
"6",6499,0.170529760287404
"7",6499,0.170529760287404
"8",24984,0.199493897749712
"9",30712,0.134589645503689
"10",32433,0.180585728468783
"11",72556,0.180670024001392
"12",79133,0.206592772574508
"13",79854,0.192281455533551
"14",85221,0.20231864444825
"15",94693,0.159761226978757
"16",101270,0.1782317904058
"17",106207,0.210398394803642
"18",110792,0.173149498389934
"19",116413,0.207306871712772
"20",120889,0.207807970828021
"21",131442,0.178348263680941
"22",135261,0.206937599858506
"23",139161,0.216052413860469
"24",139770,0.218439735042649
"25",148605,0.168812560998172
"26",153940,0.228228152350033
"27",163374,0.187869342600041
"28",169360,0.196760912387206
"29",173793,0.250030536006352
"30",174005,0.174520497194137
"31",181582,0.174899510707228
"32",194818,0.187639357043743
"33",196001,0.181408060921873
"34",196398,0.254305900459586
"35",203945,0.17836228791797
"36",219552,0.196866873087496
"37",222117,0.217598302724544
"38",224366,0.204480210438928
"39",239194,0.219036912025206
"40",239259,0.21275310139537
"41",251827,0.208419532235396
"42",253302,0.208643784414336
"43",260599,0.229357290034748
"44",264384,0.201066306157884
"45",278901,0.190002332383419
"46",282267,0.218482050120759
"47",283669,0.212952547667716
"48",284800,0.231024796685006
"49",292166,0.179532835838977
"50",294755,0.216132935950424
"51",302099,0.149193181660211
"52",304897,0.194908109633058
"53",307516,0.212151660259732
"54",311959,0.189959697384766
"55",317050,0.205370692872334
"56",318900,0.168997479532378
"57",327594,0.176244645166602
"58",334345,0.134200352767071
"59",354023,0.224294935811304
"60",362311,0.210794391343168
"61",363904,0.227344585776096
"62",364151,0.180842010281723
"63",365847,0.191962738262976
"64",381184,0.191425112183614
"65",385811,0.233569065656447
"66",394053,0.231628775762238
"67",395689,0.172852618466654
"68",396562,0.200819147708003
"69",400089,0.19078110857786
"70",401845,0.223317810773588
"71",402141,0.191061309045896
"72",405344,0.156866969552048
"73",422038,0.177001093305484
"74",433241,0.178486497554094
"75",438153,0.194609607957339
"76",441973,0.174088274798999
"77",451999,0.223202006485162
"78",460380,0.193860936065986
"79",461347,0.176126206218491
"80",468766,0.19706558348745
"81",480134,0.199314941942049
"82",484334,0.177296838898247
"83",485221,0.253591751835233
"84",487873,0.230503756180315
"85",497018,0.221650219483494
"86",500924,0.193217540010814
"87",532059,0.218573385938078
"88",536140,0.235899873314919
"89",539618,0.197952200250511
"90",545543,0.217050956248964
"91",549915,0.189717027486019
"92",550162,0.176786850220436
"93",550803,0.189088670715462
"94",555271,0.190192738452586
"95",559121,0.213558513861307
"96",573521,0.169591972882524
"97",573556,0.191651377840608
"98",586280,0.1726362059686
"99",589401,0.203588781302177
"100",591375,0.201851173601874
"101",595823,0.180966232103332
"102",599949,0.200221598869939
"103",600045,0.195356400209166
"104",612209,0.255237273342648
"105",618647,0.174195623218895
"106",622284,0.201618847201083
"107",623500,0.181979175579271
"108",627514,0.200055127179118
"109",631758,0.177541601513727
"110",643640,0.188197342051334
"111",645300,0.190630592881004
"112",652022,0.237695425022676
"113",662839,0.194160330359912
"114",668652,0.213782933565266
"115",677970,0.190085319936571
"116",684445,0.227135556130244
"117",687778,0.220560359661783
"118",690316,0.153930717831647
"119",695821,0.184737027820866
"120",699845,0.200819496444103
"121",703433,0.148104973716894
"122",704923,0.19578408323512
"123",711424,0.202647296384355
"124",747633,0.180419824125461
"125",753091,0.135556778381914
"126",767084,0.231495262527009
"127",775684,0.19002849002849
"128",782311,0.194365812368672
"129",787827,0.0907605127292446
"130",813419,0.186847007335335
"131",817131,0.19629024733731
"132",824681,0.197247363574108
"133",825178,0.195142149629402
"134",829319,0.189130536993878
"135",856332,0.208685079537788
"136",866483,0.206545575815719
"137",868925,0.179245644070069
"138",884579,0.190134591784543
"139",885104,0.188596901558746
"140",887573,0.141391295574852
"141",902409,0.160098827538213
"142",907554,0.225908618643273
"143",926634,0.185644967357869
"144",934299,0.175552926887352
"145",943975,0.186430565461381
"146",952479,0.225328153861058
"147",955051,0.154172985565454
"148",963700,0.202364931967299
"149",967180,0.158141717584593
"150",989719,0.219559516822638
"151",994632,0.197179027954159
"152",995268,0.165177691090215
"153",995970,0.211737817793945
"154",999217,0.208204171757366
"155",999600,0.170460844595316
"156",1002403,0.144403352377081
"157",1005607,0.187063821016907
"158",1007540,0.248302350645126
"159",1008729,0.20719962523885
"160",1022178,0.165422000623488
"161",1022697,0.204719308029954
"162",1025847,0.185301839363464
"163",1046529,0.195876057615057
"164",1115334,0.184330154442517
"165",1116729,0.208167704594529
"166",1122449,0.12491059387551
"167",1124687,0.225070443552292
"168",1127088,0.228121277535641
"169",1129495,0.192623974254878
"170",1140545,0.113615639971305
"171",1147088,0.17522485920025
"172",1155260,0.218864838223707
"173",1168208,0.284456810695478
"174",1175011,0.208887681322341
"175",1178313,0.194864283413084
"176",1180542,0.178696180733227
"177",1191342,0.190510641333532
"178",1194732,0.150088937932075
"179",1197412,0.212950132053574
"180",1197450,0.221637034564
"181",1215948,0.191648377088325
"182",1224742,0.221493331082188
"183",1235113,0.210170303824475
"184",1251584,0.196998916435806
"185",1262970,0.200644804930519
"186",1272327,0.161071046070987
"187",1278864,0.248766562191576
"188",1283315,0.217137602275755
"189",1292978,0.220837282668655
"190",1295128,0.216199349365448
"191",1296586,0.204216047505086
"192",1299354,0.162095803059677
"193",1300209,0.161166675494663
"194",1303819,0.217204737675782
"195",1306230,0.232438001683972
"196",1307146,0.192091285230737
"197",1325015,0.194820239441758
"198",1330840,0.216925700701345
"199",1332509,0.221506739381673
"200",1339595,0.208896542568802
"201",1350455,0.220820193974232
"202",1357564,0.201141586290992
"203",1359946,0.203542101257477
"204",1361187,0.197486865195221
"205",1369310,0.141748410319839
"206",1371987,0.135966565926883
"207",1372208,0.189049950800172
"208",1374575,0.153502163660902
"209",1390845,0.203934738846597
"210",1392180,0.208957742926427
"211",1397137,0.165378746433279
"212",1400185,0.210213120531114
"213",1410105,0.212010636250433
"214",1414550,0.159576027035075
"215",1423862,0.175289865184329
"216",1427081,0.196009020793229
"217",1428322,0.159149297242177
"218",1430186,0.191081792986555
"219",1432064,0.178032434034459
"220",1433302,0.200904256806048
"221",1443303,0.165076292199123
"222",1445539,0.219585593538378
