listing_id,f0n,f0p,f1n,f1p,f2n,f2p,f3n,f3p,f4n,f4p,f5n,f5p,f6n,f6p,f7n,f7p
21452484,0.0,0.03125,0.0125,0.1625,0.0,0.28125,0.0125,0.31875,0.0,0.38125,0.0,0.14375,0.00625,0.0375,0.00625,0.03125
21460917,0.0,0.04580152671755725,0.007633587786259542,0.22900763358778625,0.0,0.32061068702290074,0.022900763358778626,0.31297709923664124,0.0,0.3435114503816794,0.0,0.03816793893129771,0.007633587786259542,0.07633587786259542,0.007633587786259542,0.03816793893129771
21461367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21461409,0.0,0.07317073170731707,0.0,0.2682926829268293,0.0,0.4146341463414634,0.0,0.34146341463414637,0.0,0.34146341463414637,0.0,0.07317073170731707,0.0,0.04878048780487805,0.0,0.024390243902439025
21463586,0.0,0.0196078431372549,0.0,0.1568627450980392,0.0,0.17647058823529413,0.0,0.21568627450980393,0.0196078431372549,0.4117647058823529,0.0,0.058823529411764705,0.0196078431372549,0.09803921568627451,0.0,0.0196078431372549
21464701,0.0,0.0,0.017543859649122806,0.24561403508771928,0.017543859649122806,0.05263157894736842,0.0,0.3684210526315789,0.017543859649122806,0.2982456140350877,0.0,0.21052631578947367,0.0,0.05263157894736842,0.0,0.03508771929824561
21465670,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
21471680,0.0,0.03636363636363636,0.0,0.2727272727272727,0.0,0.03636363636363636,0.0,0.41818181818181815,0.0,0.45454545454545453,0.0,0.2,0.0,0.03636363636363636,0.0,0.07272727272727272
21474435,0.0,0.06666666666666667,0.0,0.22777777777777777,0.0,0.21666666666666667,0.011111111111111112,0.5222222222222223,0.0,0.3333333333333333,0.005555555555555556,0.13333333333333333,0.0,0.07777777777777778,0.005555555555555556,0.10555555555555556
21474769,0.0,0.0,0.0,0.1875,0.0,0.125,0.0,0.4375,0.0,0.4375,0.0,0.0,0.0,0.1875,0.0,0.0
21475857,0.0,0.01694915254237288,0.0,0.1864406779661017,0.01694915254237288,0.15254237288135594,0.03389830508474576,0.3559322033898305,0.03389830508474576,0.4406779661016949,0.0,0.06779661016949153,0.0,0.03389830508474576,0.0,0.03389830508474576
21476637,0.0,0.06557377049180328,0.01639344262295082,0.2459016393442623,0.03278688524590164,0.06557377049180328,0.0,0.2786885245901639,0.03278688524590164,0.36065573770491804,0.01639344262295082,0.09836065573770492,0.03278688524590164,0.08196721311475409,0.0,0.08196721311475409
21479104,0.0,0.017857142857142856,0.017857142857142856,0.14285714285714285,0.0,0.05952380952380952,0.017857142857142856,0.35714285714285715,0.017857142857142856,0.4166666666666667,0.0,0.10714285714285714,0.011904761904761904,0.05952380952380952,0.0,0.03571428571428571
21479183,0.0,0.1111111111111111,0.0,0.19444444444444445,0.0,0.3055555555555556,0.0,0.3611111111111111,0.05555555555555555,0.2777777777777778,0.0,0.2777777777777778,0.0,0.05555555555555555,0.0,0.05555555555555555
21480054,0.0,0.0,0.0,0.16666666666666666,0.0,0.13333333333333333,0.0,0.36666666666666664,0.0,0.23333333333333334,0.0,0.2,0.0,0.0,0.0,0.1
21488404,0.0,0.08421052631578947,0.031578947368421054,0.35789473684210527,0.0,0.3368421052631579,0.0,0.3894736842105263,0.010526315789473684,0.28421052631578947,0.010526315789473684,0.09473684210526316,0.0,0.1368421052631579,0.0,0.07368421052631578
21506272,0.0,0.07547169811320754,0.01509433962264151,0.2943396226415094,0.026415094339622643,0.3018867924528302,0.011320754716981131,0.22641509433962265,0.01509433962264151,0.27547169811320754,0.0,0.24150943396226415,0.0037735849056603774,0.05660377358490566,0.0,0.045283018867924525
